local_id,change,old,new
270585689,added,,nan|02|207|Cerrado
270585690,added,,nan|19|1901|Cerrado
270585692,added,,551005|18|1803|Abierto
270585693,added,,551005|18|1803|Abierto
270585694,added,,nan|09|905|Cerrado
270585695,added,,551005|07|702|Abierto
270585696,added,,nan|18|1801|Cerrado
270585697,added,,551005|01|106|Abierto
270585698,added,,551005|01|106|Abierto
270585700,added,,551005|01|103|Abierto
270585701,added,,551005|01|106|Abierto
270585702,added,,nan|11|1101|Cerrado
270585703,added,,000000|06|602|Cerrado
270585705,added,,nan|17|1703|Cerrado
270585706,added,,551005|01|103|Abierto
270585708,added,,551005|05|506|Abierto
270585709,added,,551005|16|1604|Abierto
270585710,added,,551005|07|703|Abierto
270585711,added,,551005|01|106|Abierto
270585712,added,,551005|06|606|Abierto
270585713,added,,551005|01|106|Abierto
270585714,added,,551005|01|106|Abierto
270585715,added,,nan|08|807|Cerrado
270585716,added,,nan|17|1701|Cerrado
270585717,added,,nan|08|806|Cerrado
270585718,added,,nan|08|806|Cerrado
270585719,added,,551005|15|1507|Abierto
270585720,added,,nan|01|101|Cerrado
270585722,added,,551005|09|902|Abierto
270585723,added,,nan|11|1102|Cerrado
270585724,added,,551005|07|704|Abierto
270585726,added,,nan|16|1603|Cerrado
270585727,added,,551005|05|506|Abierto
270585729,added,,551005|01|104|Abierto
100000048,epigraph_changed,472204|10|1007|Abierto,472201|10|1007|Abierto
100000049,epigraph_changed,852001|10|1004|Abierto,562902|10|1004|Abierto
100000051,epigraph_changed,562902|10|1004|Abierto,851001|10|1004|Abierto
100000054,epigraph_changed,562902|10|1005|Abierto,852001|10|1005|Abierto
100000107,epigraph_changed,881001|10|1004|Abierto,562902|10|1004|Abierto
100000109,epigraph_changed,852001|10|1001|Abierto,562902|10|1001|Abierto
100000111,epigraph_changed,562902|10|1007|Abierto,855002|10|1007|Abierto
100000112,epigraph_changed,562902|10|1004|Abierto,852001|10|1004|Abierto
100000113,epigraph_changed,852001|10|1007|Abierto,562902|10|1007|Abierto
100000116,epigraph_changed,562902|10|1002|Abierto,852001|10|1002|Abierto
100000160,epigraph_changed,562902|10|1003|Abierto,853003|10|1003|Abierto
100000405,epigraph_changed,851002|10|1007|Uso vivienda,851003|10|1007|Uso vivienda
100000407,epigraph_changed,851001|10|1004|Abierto,562902|10|1004|Abierto
100000408,epigraph_changed,851001|10|1004|Abierto,562902|10|1004|Abierto
100000409,epigraph_changed,869007|10|1004|Abierto,960101|10|1004|Abierto
100000427,epigraph_changed,562902|10|1003|Abierto,851001|10|1003|Abierto
100000503,epigraph_changed,870001|10|1003|Abierto,889002|10|1003|Abierto
100000525,epigraph_changed,562902|10|1007|Abierto,851001|10|1007|Abierto
100000571,epigraph_changed,852001|10|1007|Abierto,562902|10|1007|Abierto
100000573,epigraph_changed,562902|10|1007|Abierto,851001|10|1007|Abierto
100000574,epigraph_changed,852001|10|1005|Abierto,562902|10|1005|Abierto
100000596,epigraph_changed,472203|10|1002|Baja Reunificación,471101|10|1002|Baja Reunificación
100000684,epigraph_changed,881001|10|1005|Abierto,562903|10|1005|Abierto
100000690,epigraph_changed,853003|10|1004|Abierto,562902|10|1004|Abierto
100000693,epigraph_changed,851001|10|1004|Abierto,562902|10|1004|Abierto
100000695,epigraph_changed,562902|10|1003|Abierto,851001|10|1003|Abierto
100000697,epigraph_changed,851001|10|1004|Abierto,562902|10|1004|Abierto
100000730,epigraph_changed,851001|10|1004|Abierto,562902|10|1004|Abierto
100000833,epigraph_changed,561005|10|1007|Abierto,561006|10|1007|Abierto
100000842,epigraph_changed,851001|10|1005|Abierto,562902|10|1005|Abierto
100000850,epigraph_changed,472404|10|1001|Abierto,472401|10|1001|Abierto
100000878,epigraph_changed,561005|10|1007|Abierto,561006|10|1007|Abierto
100000907,epigraph_changed,561006|10|1002|Abierto,561002|10|1002|Abierto
100000921,epigraph_changed,472501|10|1007|Abierto,472402|10|1007|Abierto
100000943,epigraph_changed,472102|10|1004|Abierto,472401|10|1004|Abierto
100000946,epigraph_changed,472911|10|1007|Abierto,471902|10|1007|Abierto
100000961,epigraph_changed,562903|10|1007|Abierto,881001|10|1007|Abierto
100000992,epigraph_changed,562902|10|1003|Abierto,853001|10|1003|Abierto
100001019,epigraph_changed,472102|10|1001|Abierto,472911|10|1001|Abierto
100001060,epigraph_changed,472911|10|1004|Abierto,472401|10|1004|Abierto
100001070,epigraph_changed,931003|10|1001|Baja Reunificación,855002|10|1001|Baja Reunificación
100001096,epigraph_changed,851001|10|1004|Abierto,562902|10|1004|Abierto
100001101,epigraph_changed,851002|10|1003|Cerrado,562902|10|1003|Cerrado
100001104,epigraph_changed,472402|10|1004|Abierto,471101|10|1004|Abierto
100001126,epigraph_changed,851001|10|1003|Abierto,562902|10|1003|Abierto
100001167,epigraph_changed,471902|10|1003|Abierto,471101|10|1003|Abierto
100001190,epigraph_changed,960201|10|1007|Abierto,960203|10|1007|Abierto
100001202,epigraph_changed,562902|10|1005|Abierto,851001|10|1005|Abierto
100001252,epigraph_changed,472911|10|1005|Abierto,471902|10|1005|Abierto
100001348,epigraph_changed,563005|10|1002|Abierto,561005|10|1002|Abierto
100001365,epigraph_changed,960201|10|1005|Abierto,477501|10|1005|Abierto
100001366,epigraph_changed,821001|10|1005|Abierto,610002|10|1005|Abierto
100001368,epigraph_changed,960201|10|1007|Abierto,960203|10|1007|Abierto
